year,category,winner,entity
1927,ACTOR,FALSE,Richard Barthelmess
1927,ACTRESS,FALSE,Louise Dresser
1927,ACTRESS,FALSE,Gloria Swanson
1927,ART DIRECTION,FALSE,Rochus Gliese
1927,ART DIRECTION,FALSE,Harry Oliver
1927,CINEMATOGRAPHY,FALSE,George Barnes
1927,DIRECTING (Comedy Picture),FALSE,Ted Wilde
1927,DIRECTING (Dramatic Picture),FALSE,Herbert Brenon
1927,DIRECTING (Dramatic Picture),FALSE,King Vidor
1927,ENGINEERING EFFECTS,FALSE,Ralph Hammeras
1927,ENGINEERING EFFECTS,FALSE,Nugent Slaughter
1927,OUTSTANDING PICTURE,FALSE,The Caddo Company
1927,OUTSTANDING PICTURE,FALSE,Fox
1927,UNIQUE AND ARTISTIC PICTURE,FALSE,Metro-Goldwyn-Mayer
1927,UNIQUE AND ARTISTIC PICTURE,FALSE,Paramount Famous Lasky
1927,WRITING (Adaptation),FALSE,Alfred Cohn
1927,WRITING (Adaptation),FALSE,Anthony Coldeway
1927,WRITING (Original Story),FALSE,Lajos Biro
1927,WRITING (Title Writing),FALSE,Gerald Duffy
1927,WRITING (Title Writing),FALSE,"George Marion, Jr."
1928,ACTOR,FALSE,George Bancroft
1928,ACTOR,FALSE,Chester Morris
1928,ACTOR,FALSE,Paul Muni
1928,ACTOR,FALSE,Lewis Stone
1928,ACTRESS,FALSE,Ruth Chatterton
1928,ACTRESS,FALSE,Betty Compson
1928,ACTRESS,FALSE,Jeanne Eagels
1928,ACTRESS,FALSE,Corinne Griffith
1928,ACTRESS,FALSE,Bessie Love
1928,ART DIRECTION,FALSE,Hans Dreier
1928,ART DIRECTION,FALSE,Mitchell Leisen
1928,ART DIRECTION,FALSE,William Cameron Menzies
1928,ART DIRECTION,FALSE,Harry Oliver
1928,CINEMATOGRAPHY,FALSE,George Barnes
1928,CINEMATOGRAPHY,FALSE,Arthur Edeson
1928,CINEMATOGRAPHY,FALSE,Ernest Palmer
1928,CINEMATOGRAPHY,FALSE,John Seitz
1928,DIRECTING,FALSE,Lionel Barrymore
1928,DIRECTING,FALSE,Harry Beaumont
