year,category,winner,entity
1927,ACTOR,TRUE,Emil Jannings
1927,ACTRESS,TRUE,Janet Gaynor
1927,ART DIRECTION,TRUE,William Cameron Menzies
1927,CINEMATOGRAPHY,TRUE,Charles Rosher
1927,CINEMATOGRAPHY,TRUE,Karl Struss
1927,DIRECTING (Comedy Picture),TRUE,Lewis Milestone
1927,DIRECTING (Dramatic Picture),TRUE,Frank Borzage
1927,ENGINEERING EFFECTS,TRUE,Roy Pomeroy
1927,OUTSTANDING PICTURE,TRUE,Paramount Famous Lasky
1927,UNIQUE AND ARTISTIC PICTURE,TRUE,Fox
1927,WRITING (Adaptation),TRUE,Benjamin Glazer
1927,WRITING (Original Story),TRUE,Ben Hecht
1927,WRITING (Title Writing),TRUE,Joseph Farnham
1927,SPECIAL AWARD,TRUE,"To Warner Bros., for producing The Jazz Singer , the pioneer outstanding talking picture, which has revolutionized the industry."
1927,SPECIAL AWARD,TRUE,"To Charles Chaplin, for acting, writing, directing and producing The Circus ."
1928,ACTOR,TRUE,Warner Baxter
1928,ACTRESS,TRUE,Mary Pickford
1928,ART DIRECTION,TRUE,Cedric Gibbons
1928,CINEMATOGRAPHY,TRUE,Clyde De Vinna
1928,DIRECTING,TRUE,Frank Lloyd
1928,OUTSTANDING PICTURE,TRUE,Metro-Goldwyn-Mayer
1928,WRITING,TRUE,Hans Kraly
1929,ACTOR,TRUE,George Arliss
1929,ACTRESS,TRUE,Norma Shearer
1929,ART DIRECTION,TRUE,King of Jazz
1929,CINEMATOGRAPHY,TRUE,With Byrd at the South Pole
1929,DIRECTING,TRUE,Lewis Milestone
1929,OUTSTANDING PRODUCTION,TRUE,All Quiet on the Western Front
1929,SOUND RECORDING,TRUE,The Big House
1929,WRITING,TRUE,The Big House
1930,ACTOR,TRUE,Lionel Barrymore
1930,ACTRESS,TRUE,Marie Dressler
1930,ART DIRECTION,TRUE,Cimarron
1930,CINEMATOGRAPHY,TRUE,Tabu
1930,DIRECTING,TRUE,Skippy
1930,OUTSTANDING PRODUCTION,TRUE,Cimarron
1930,SOUND RECORDING,TRUE,Paramount Publix Studio Sound Department
1930,WRITING (Adaptation),TRUE,Cimarron
1930,WRITING (Original Story),TRUE,The Dawn Patrol
1930,SCIENTIFIC OR TECHNICAL AWARD (Class I),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC., RCA-PHOTOPHONE, INC. and RKO RADIO PICTURES, INC., for noise reduction recording equipment."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class I),TRUE,To DuPONT FILM MANUFACTURING CORP. and EASTMAN KODAK COMPANY for super-sensitive panchromatic film.
1930,SCIENTIFIC OR TECHNICAL AWARD (Class II),TRUE,To FOX FILM CORP. for effective use of synchro-projection composite photography.
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To ELECTRICAL RESEARCH PRODUCTS, INC. for moving coil microphone transmitters."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To RKO RADIO PICTURES, INC. for reflex type microphone concentrators."
1930,SCIENTIFIC OR TECHNICAL AWARD (Class III),TRUE,"To RCA-PHOTOPHONE, INC. for ribbon microphone transmitters."
1931,ACTOR,TRUE,Wallace Beery
1931,ACTOR,TRUE,Fredric March
1931,ACTRESS,TRUE,Helen Hayes
1931,ART DIRECTION,TRUE,Transatlantic
1931,CINEMATOGRAPHY,TRUE,Shanghai Express
1931,DIRECTING,TRUE,Bad Girl
1931,OUTSTANDING PRODUCTION,TRUE,Grand Hotel
1931,SHORT SUBJECT (Cartoon),TRUE,Flowers and Trees
1931,SHORT SUBJECT (Comedy),TRUE,The Music Box
