playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,meFirst,meLast,meGiven,weight,height,bats,throws,debut,filGame,retroID,bbrefID,deathDate,birthDate
abadfe01,1985,12,17,D.R.,La Roma,La Roma,,,,,,,Ferndo,Abad,Ferndo Antonio,235,74,L,L,7/28/2010,10/1/2021,abadf001,abadfe01,,12/17/1985
abreual01,1995,9,26,D.R.,Monte Cristi,Guayubin,,,,,,,Albert,Abreu,Albert Enmanuel,190,74,R,R,8/8/2020,10/5/2022,abrea001,abreual01,,9/26/1995
abreubo01,1974,3,11,Venezuela,Aragua,Maracay,,,,,,,Bobby,Abreu,Bob Kelly,220,72,L,R,9/1/1996,9/28/2014,abreb001,abreubo01,,3/11/1974
abreubr01,1997,4,22,D.R.,Distrito ciol,Santo Domingo,,,,,,,Bryan,Abreu,Bryan Enrique,225,73,R,R,7/31/2019,10/5/2022,abreb002,abreubr01,,4/22/1997
abreujo02,1987,1,29,Cuba,Cienfuegos,Cienfuegos,,,,,,,Jose,Abreu,Jose Dariel,235,75,R,R,3/31/2014,10/4/2022,abrej003,abreujo02,,1/29/1987
abreuju01,1985,4,8,D.R.,Duarte,San Francisco de Macoris,,,,,,,Juan,Abreu,Juan de Dios,185,72,R,R,8/29/2011,9/27/2011,abrej002,abreuju01,,4/8/1985
abreuto01,1984,11,13,D.R.,Puerto Plata,Puerto Plata,,,,,,,Tony,Abreu,Etanislao Toni,200,70,B,R,5/22/2007,7/28/2014,abret001,abreuto01,,11/13/1984
abreuwi01,1977,4,5,D.R.,Sanchez Ramirez,Cotui,,,,,,,Winston,Abreu,Winston Leordo,170,74,R,R,8/6/2006,7/25/2009,abrew001,abreuwi01,,4/5/1977
aceveal01,1982,12,8,Mexico,Sonora,San Luis Rio Colorado,,,,,,,Alfredo,Aceves,Alfredo,205,74,R,R,8/31/2008,6/2/2014,aceva001,aceveal01,,12/8/1982
acevedo01,1994,3,6,D.R.,Santiago Rodriguez,Villa Los Almacigos,,,,,,,Domingo,Acevedo,Domingo Antonio,240,79,R,R,6/21/2021,10/4/2022,acevd001,acevedo01,,3/6/1994
acevejo01,1977,12,18,D.R.,Distrito ciol,Santo Domingo,,,,,,,Jose,Acevedo,Jose Omar,185,72,R,R,6/19/2001,9/29/2005,acevj002,acevejo01,,12/18/1977
aceveju01,1970,5,5,Mexico,Chihuahua,Ciudad Juarez,,,,,,,Juan,Acevedo,Juan Carlos,245,74,R,R,4/30/1995,8/5/2003,acevj001,aceveju01,,5/5/1970
acostcy01,1946,11,22,Mexico,Siloa,El Sabino,,,,,,,Cy,Acosta,Cecilio,165,70,R,R,6/4/1972,5/5/1975,acosc101,acostcy01,,11/22/1946
acosted01,1944,3,9,Pama,Chiriqui,Boquete,,,,,,,Ed,Acosta,Eduardo Elixbet,215,77,B,R,9/7/1970,10/4/1972,acose101,acosted01,,3/9/1944
acostjo01,1891,3,4,Cuba,La Haba,La Haba,1977,11,16,Cuba,La Haba,La Haba,Jose,Acosta,Jose,134,66,R,R,7/28/1920,5/12/1922,acosj101,acostjo01,11/16/1977,1891-03-04
acostma01,1981,5,1,Pama,Colon,Colon,,,,,,,Manny,Acosta,Manuel Alcides,215,76,R,R,8/12/2007,10/3/2012,acosm001,acostma01,,5/1/1981
acostme01,1896,5,19,Cuba,Artemisa,Bauta,1963,11,17,USA,FL,Miami,Merito,Acosta,Baldomero Pedro,140,67,L,L,6/5/1913,9/2/1918,acosm101,acostme01,11/17/1963,1896-05-19
actama99,1969,1,11,D.R.,San Pedro de Macoris,San Pedro de Macoris,,,,,,,Manny,Acta,Manuel Elias,172,74,R,R,,,actam801,actama99,,1/11/1969
acuro01,1997,12,18,Venezuela,La Guaira,La Guaira,,,,,,,Rold,Acu,Rold Jose,205,72,R,R,4/25/2018,10/4/2022,acunr001,acuro01,,12/18/1997
adamecr01,1991,7,26,D.R.,Distrito ciol,Santo Domingo,,,,,,,Cristhian,Adames,Cristhian Pascual,217,71,B,R,7/29/2014,9/29/2019,adamc001,adamecr01,,7/26/1991
adamewi01,1995,9,2,D.R.,Santiago,Santiago,,,,,,,Willy,Adames,Willy Rafael,210,72,R,R,5/22/2018,10/5/2022,adamw002,adamewi01,,9/2/1995
adducji02,1985,5,15,CAN,BC,Burby,,,,,,,Jim,Adduci,Jim Charles,210,74,L,L,9/1/2013,6/1/2019,adduj002,adducji02,,5/15/1985
