playerid,yearid,votedby,ballots,needed,votes,inducted,category,needed_note
cobbty01,1936,BBWAA,226,170,222,Y,Player,
ruthba01,1936,BBWAA,226,170,215,Y,Player,
wagneho01,1936,BBWAA,226,170,215,Y,Player,
mathech01,1936,BBWAA,226,170,205,Y,Player,
johnswa01,1936,BBWAA,226,170,189,Y,Player,
lajoina01,1937,BBWAA,201,151,168,Y,Player,
speaktr01,1937,BBWAA,201,151,165,Y,Player,
youngcy01,1937,BBWAA,201,151,153,Y,Player,
bulkemo99,1937,Centennial,,,,Y,Pioneer/Executive,
johnsba99,1937,Centennial,,,,Y,Pioneer/Executive,
mackco01,1937,Centennial,,,,Y,Manager,
mcgrajo01,1937,Veterans,,,,Y,Manager,
wrighge01,1937,Centennial,,,,Y,Pioneer/Executive,
alexape01,1938,BBWAA,262,197,212,Y,Player,
cartwal99,1938,Centennial,,,,Y,Pioneer/Executive,
chadwhe99,1938,Centennial,,,,Y,Pioneer/Executive,
sislege01,1939,BBWAA,274,206,235,Y,Player,
collied01,1939,BBWAA,274,206,213,Y,Player,
keelewi01,1939,BBWAA,274,206,207,Y,Player,
ansonca01,1939,Old Timers,,,,Y,Player,
comisch01,1939,Old Timers,,,,Y,Pioneer/Executive,
cummica01,1939,Old Timers,,,,Y,Pioneer/Executive,
ewingbu01,1939,Old Timers,,,,Y,Player,
gehrilo01,1939,Special Election,,,,Y,Player,
radboch01,1939,Old Timers,,,,Y,Player,
spaldal01,1939,Old Timers,,,,Y,Pioneer/Executive,
hornsro01,1942,BBWAA,233,175,182,Y,Player,
landike99,1944,Old Timers,,,,Y,Pioneer/Executive,
bresnro01,1945,Old Timers,,,,Y,Player,
broutda01,1945,Old Timers,,,,Y,Player,
clarkfr01,1945,Old Timers,,,,Y,Player,
colliji01,1945,Old Timers,,,,Y,Player,
delahed01,1945,Old Timers,,,,Y,Player,
duffyhu01,1945,Old Timers,,,,Y,Player,
jennihu01,1945,Old Timers,,,,Y,Player,
kellyki01,1945,Old Timers,,,,Y,Player,
orourji01,1945,Old Timers,,,,Y,Player,
robinwi01,1945,Old Timers,,,,Y,Manager,
burkeje01,1946,Old Timers,,,,Y,Player,
chancfr01,1946,Old Timers,,,,Y,Player,
chesbja01,1946,Old Timers,,,,Y,Player,
eversjo01,1946,Old Timers,,,,Y,Player,
griffcl01,1946,Old Timers,,,,Y,Player,
mccarto01,1946,Old Timers,,,,Y,Player,
mcginjo01,1946,Old Timers,,,,Y,Player,
planked01,1946,Old Timers,,,,Y,Player,
tinkejo01,1946,Old Timers,,,,Y,Player,
wadderu01,1946,Old Timers,,,,Y,Player,
walshed01,1946,Old Timers,,,,Y,Player,
hubbeca01,1947,BBWAA,161,121,140,Y,Player,
friscfr01,1947,BBWAA,161,121,136,Y,Player,
cochrmi01,1947,BBWAA,161,121,128,Y,Player,
grovele01,1947,BBWAA,161,121,123,Y,Player,
pennohe01,1948,BBWAA,121,91,94,Y,Player,
traynpi01,1948,BBWAA,121,91,93,Y,Player,
gehrich01,1949,Run Off,187,,159,Y,Player,1st
brownmo01,1949,Old Timers,,,,Y,Player,
nichoki01,1949,Old Timers,,,,Y,Player,
ottme01,1951,BBWAA,226,170,197,Y,Player,
foxxji01,1951,BBWAA,226,170,179,Y,Player,
heilmha01,1952,BBWAA,234,176,203,Y,Player,
wanerpa01,1952,BBWAA,234,176,195,Y,Player,
deandi01,1953,BBWAA,264,198,209,Y,Player,
simmoal01,1953,BBWAA,264,198,199,Y,Player,
barroed99,1953,Veterans,,,,Y,Pioneer/Executive,
bendech01,1953,Veterans,,,,Y,Player,
connoto99,1953,Veterans,,,,Y,Umpire,
klembi99,1953,Veterans,,,,Y,Umpire,
wallabo01,1953,Veterans,,,,Y,Player,
wrighha01,1953,Veterans,,,,Y,Pioneer/Executive,
maranra01,1954,BBWAA,252,189,209,Y,Player,
dickebi01,1954,BBWAA,252,189,202,Y,Player,
terrybi01,1954,BBWAA,252,189,195,Y,Player,
dimagjo01,1955,BBWAA,251,189,223,Y,Player,
lyonste01,1955,BBWAA,251,189,217,Y,Player,
vanceda01,1955,BBWAA,251,189,205,Y,Player,
hartnga01,1955,BBWAA,251,189,195,Y,Player,
